Date,Day,Action,Actor,Target,Agent,Event,State,Location,Issue,Linked date,Time/Duration,side1troops,side1arrests,side1injured,side1killed,side2troops,side2arrests,side2injured,side2killed,Source,no event,Sources
2-Dec-61,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
2-Dec-61,Mon,naval battle,Union,Confederates,,4 federal warships severely damage CSS Patrick Henry,Virginia,Newport News,civil war,,,31,0,8,3,124,0,0,0,Bowman,,
3-Dec-61,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
3-Dec-61,Tue,occupation,Union,Confederates,,Union lands more troops on Ship Island,Mississippi,Ship Island,civil war,,,0,0,0,0,3000,0,0,0,Bowman,,
4-Dec-61,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
5-Dec-61,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
6-Dec-61,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
7-Dec-61,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
7-Dec-61,Sat,battle,Union,Confederates,,minor skirmish in Virginia,Virginia,Dam Number 5,civil war,,,4000,0,8,3,5000,0,8,3,Bowman,,
7-Dec-61,Sat,battle,Confederates,Union,,"rebel forces take Glasgow, Missouri",Missouri,Glasgow,civil war,,,4000,0,0,0,301,0,8,3,Bowman,,
7-Dec-61,Sat,arrest,Union,Confederates,,arrest CSA purchasing agent J.W.. Zacharie,Louisiana,New Orleans,civil war,,,1,1,0,0,8,0,0,0,Bowman,,
8-Dec-61,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
8-Dec-61,Sun,seizure,Confederates,whaling ship,,CSS Sumter takes whaling ship,Atlantic ocean,,,,,31,0,0,0,12,12,0,0,Bowman,,
9-Dec-61,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
9-Dec-61,Mon,burn,Confederates,Union,,plantation owners burn cotton crop to prevent Union getting it,Confederacy,,,,,3001,0,0,0,0,0,0,0,Bowman,,
9-Dec-61,Mon,battle,Union,Confederates,,brief battle in Missouri,Missouri,Union Mills,civil war,,,3000,0,8,3,3000,0,8,3,Bowman,,
9-Dec-61,Mon,battle,American Indians,Creeks,,pro-CSA Indians attack pro-Union Creeks,Oklahoma,Bird Creek,civil war,,,2000,0,37,15,1000,6,101,31,Faust,,
10-Dec-61,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
10-Dec-61,Tue,admission,Kentucky,Confederates,,CSA congress accepts Kentucky into Confederacy,Virginia,Richmond,secession,,,301,0,0,0,0,0,0,0,Bowman,,
10-Dec-61,Tue,occupation,Union,Confederates,,union troops occupy abandoned rebel fort,South Carolina,Ashepoo river,civil war,,,0,0,0,0,301,0,0,0,Arnold & Wiener,,
11-Dec-61,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
12-Dec-61,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
13-Dec-61,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
13-Dec-61,Fri,battle,Union,Confederates,,union forces attack rebel camp,West Virginia,Buffalo mountain,civil war,,,4000,0,98,48,5000,0,92,45,Bowman,,
14-Dec-61,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
15-Dec-61,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
16-Dec-61,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
17-Dec-61,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
17-Dec-61,Tue,obstruction,Union,Confederates,,sink 7 stone-laden ships in harbor to block vessels,Georgia,Savannah,civil war,,,0,0,0,0,301,0,0,0,Bowman,,
17-Dec-61,Tue,battle,Union,Confederates,,federal & rebel forces clash in Kentucky,Kentucky,Green River,civil war,,,3000,0,55,33,3000,0,17,10,Bowman,,
18-Dec-61,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
19-Dec-61,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
20-Dec-61,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
20-Dec-61,Fri,obstruction,Union,Confederates,,16 whaling vessels sunk to block harbor,North Carolina,Charleston,civil war,,,0,0,0,0,301,0,0,0,Bowman,,
20-Dec-61,Fri,battle,Union,Confederates,,2 foraging parties meet & clash,Virginia,Dranesville,civil war,,,350,0,130,64,350,0,46,22,Faust,,
21-Dec-61,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
22-Dec-61,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
23-Dec-61,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
24-Dec-61,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
25-Dec-61,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
25-Dec-61,Wed,battle,Union,Confederates,,federal forces clash with rebels,West Virginia,Cherry,civil war,,,4000,0,8,3,4000,0,8,3,Bowman,,
25-Dec-61,Wed,battle,Union,Confederates,,federal forces clash with rebels,Maryland,Fort Federick,civil war,,,4000,0,8,3,4000,0,8,3,Bowman,,
26-Dec-61,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
26-Dec-61,Thu,battle,American Indians,Creeks,,Cherokee led by CSA General drive Creeks into Kansas,Oklahoma,Hulah,civil war,,,2000,0,8,3,1000,0,31,8,Bowman,,
26-Dec-61,Thu,attack,Confederates,Union,navy,attack blockade vessels,Georgia,Savannah,civil war,,,301,0,0,0,301,0,8,3,Bowman,,
27-Dec-61,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
27-Dec-61,Fri,battle,Union,Confederates,,skirmish in Missouri,Missouri,Hallsville,civil war,,,1000,0,8,3,2000,0,8,3,Bowman,,
27-Dec-61,Fri,attack,Union,Confederates,,Union forces disperse rebels,Missouri,Mount Zion,civil war,,,900,0,8,3,2000,0,0,0,Bowman,,
28-Dec-61,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
29-Dec-61,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
29-Dec-61,Sun,battle,Union,Confederates,,skirmish in Missouri,Missouri,Commerce,civil war,,,2000,0,8,3,2000,0,8,0,Bowman,,
29-Dec-61,Sun,attack,Confederates,Union,,shell steamer City of Alton,Missouri,Hannibal,civil war,,,2000,0,0,0,0,0,0,0,Bowman,,
30-Dec-61,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
31-Dec-61,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
1-Jan-62,Wed,shelling,Union,Confederates,,Union troops fire at rebel batteries,Florida,Fort Pickens,civil war,,,1001,0,8,3,3000,0,0,0,Bowman,,
1-Jan-62,Wed,battle,Union,Confederates,,battle as each side tries to form a base,South Carolina,Port Royal,civil war,,,4000,0,8,3,5000,0,8,3,Bowman,,
1-Jan-62,Wed,battle,Union,Confederates,,clash destroys much of town,Missouri,Dayton,civil war,,,3000,0,8,3,4000,0,8,3,Bowman,,
1-Jan-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
2-Jan-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
3-Jan-62,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
3-Jan-62,Fri,battle,Union,Confederates,,union troops skirmish with rebels,Virginia,Big Bethel,civil war,,,4000,0,8,3,5000,0,8,3,Bowman,,
4-Jan-62,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
5-Jan-62,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
6-Jan-62,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
6-Jan-62,Mon,attack,Confederates,Union,,"Hancock, Maryland refuses to surrender; Jackson shells",Maryland,Hancock,civil war,,,4000,0,0,0,301,0,8,3,Arnold & Wiener,,
7-Jan-62,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
7-Jan-62,Tue,battle,Union,Confederates,,union troops route rebels & take 2 cannon,Virginia,Blue's Gap,civil war,,,4000,0,101,8,5000,0,8,3,Bowman,,
8-Jan-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
9-Jan-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
10-Jan-62,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
10-Jan-62,Fri,battle,Union,Confederates,,union drives rebels out of Kentucky,Kentucky,Middle Creek,civil war,,,1967,25,15,10,1550,0,20,1,Faust,,
11-Jan-62,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
11-Jan-62,Sat,flotilla,Union,Confederates,,"100 ships move 15,000 Union troops to North Carolina",North Carolina,Port Royal,civil war,,,0,0,0,0,15000,0,0,0,Bowman,,
12-Jan-62,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
13-Jan-62,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
14-Jan-62,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
15-Jan-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
16-Jan-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
16-Jan-62,Thu,burn,Union,Confederates,,Union navy burns blockade runners & dockside,Florida,Cedar Keys,civil war,,,0,0,0,0,301,0,0,0,Bowman,,
17-Jan-62,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
17-Jan-62,Fri,attack,Union,Confederates,,Union navy shells Fort Henry on the Tennessee river,Tennessee,Fort Henry,civil war,,,3000,0,3,1,301,0,0,0,Bowman,,
18-Jan-62,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
18-Jan-62,Sat,admission,Arizona,Confederates,,the territory of Arizona is added to the Confederacy,Virginia,Richmond,secession,,,301,0,0,0,0,0,0,0,Katcher,,
19-Jan-62,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
19-Jan-62,Sun,battle,Union,Confederates,,"rebel forces attack Union troops, but lose",Kentucky,Mill Springs,civil war,,,4000,99,309,125,5000,15,207,39,Bowman,,
20-Jan-62,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
20-Jan-62,Mon,obstruction,Union,Confederates,,Union navy sinks stone-laden vessels to block ships,South Carolina,Charleston,civil war,,,0,0,0,0,301,0,0,0,Bowman,,
20-Jan-62,Mon,intercept,Union,Confederates,,Union ships halt rebel ship & run it aground,Alabama,Dauphin Island,civil war,,,31,0,0,0,301,0,0,0,Bowman,,
21-Jan-62,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
22-Jan-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
23-Jan-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
23-Jan-62,Thu,capture,Union,Confederates,,take over CSS Calhoun ,Mississippi,Southwest Pass,civil war,,,31,31,0,0,301,0,0,0,Bowman,,
23-Jan-62,Thu,obstruction,Union,Confederates,,Union navy sinks stone-laden vessels to block ships,South Carolina,Charleston,civil war,,,0,0,0,0,301,0,0,0,Bowman,,
24-Jan-62,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
24-Jan-62,Fri,capture,Union,Confederates,,run aground & burn 2 rebel vessels,Mississippi,Southwest Pass,civil war,,,62,62,0,0,301,0,0,0,Bowman,,
25-Jan-62,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
26-Jan-62,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
27-Jan-62,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
28-Jan-62,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
29-Jan-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
30-Jan-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
31-Jan-62,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
1-Feb-62,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
2-Feb-62,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
3-Feb-62,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
4-Feb-62,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
5-Feb-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
6-Feb-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
6-Feb-62,Thu,battle,Union,Confederates,,Grant takes battle of Fort Henry,Tennessee,Fort Henry,civil war,,,3399,94,11,5,15000,5,31,11,Faust,,
7-Feb-62,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
8-Feb-62,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
8-Feb-62,Sat,battle,Union,Confederates,,rebel Gen. Wise surrenders to Burnside,North Carolina,Roanoke Island,civil war,,,3000,0,62,23,7500,13,214,37,Bowman,,
8-Feb-62,Sat,capture,Union,Confederates,,Union ships take 2 rebel vessels,Mississippi,Chickasaw,civil war,,,62,62,0,0,301,0,0,0,Bowman,,
9-Feb-62,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
10-Feb-62,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
10-Feb-62,Mon,attack,Union,Confederates,,Union gunboats destroy CSA fleet,North Carolina,Elizabeth City,civil war,,,301,0,8,3,501,0,0,0,Bowman,,
10-Feb-62,Mon,capture,Union,Confederates,,federal gunboats catch 3 rebel vessels,Tennessee,Johnsonville,civil war,,,93,93,0,0,301,0,0,0,Bowman,,
11-Feb-62,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
11-Feb-62,Tue,march,Union,Confederates,,Grant's troops march to Fort Donelson,Tennessee,Gallatin,civil war,,,18000,0,0,0,27000,0,0,0,Bowman,,
12-Feb-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
12-Feb-62,Wed,battle,Union,Confederates,,Burnside wins more territory in CSA,North Carolina,Edenton,civil war,,,3000,0,31,8,7500,0,8,3,Bowman,,
13-Feb-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
13-Feb-62,Thu,attack,Union,Confederates,,Grant attacks Fort Donelson,Tennessee,Fort Donelson,civil war,,,18000,0,8,3,27000,0,8,3,Bowman,,
14-Feb-62,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
14-Feb-62,Fri,attack,Union,Confederates,,CSA guns have high ground; drive away U.S. gunboats,Tennessee,Cumberland River,civil war,,,18000,0,0,0,1001,0,101,8,Bowman,,
15-Feb-62,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
16-Feb-62,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
16-Feb-62,Sun,battle,Union,Confederates,,Grant demand unconditional surrender,Tennessee,Fort Donelson,civil war,,,18000,1200,1005,495,27000,224,2100,500,Bowman,,
17-Feb-62,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
18-Feb-62,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
19-Feb-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
19-Feb-62,Wed,burn,Union,Confederates,,Union troops burn town,North Carolina,Winton,civil war,,,301,0,0,0,3000,0,0,0,Sauers,,
20-Feb-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
20-Feb-62,Thu,capture,Union,Confederates,,Union troops capture reinforcements to Fort Donelson,Tennessee,Fort Donelson,civil war,,,1000,1000,0,0,27000,0,0,0,Bowman,,
21-Feb-62,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
21-Feb-62,Fri,battle,Union,Confederates,,rebel forces prevail in New Mexico territory,New Mexico,Valvarde,civil war,,,2600,1,154,31,3810,35,160,68,Bowman,,
22-Feb-62,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
22-Feb-62,Sat,attack,Union,Confederates,,Union gunboats isolate Fort Pulaski,Georgia,Savannah,civil war,,,3000,0,8,3,301,0,0,0,Arnold & Wiener,,
23-Feb-62,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
23-Feb-62,Sun,occupation,Union,Confederates,,Union troops take over Fayetteville,Arkansas,Fayetteville,civil war,,,0,0,0,0,5000,0,0,0,Katcher,,
24-Feb-62,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
24-Feb-62,Mon,battle,Union,Confederates,,minor skirmish in Virginia,Virginia,Pohick Church,civil war,,,4000,0,8,3,5000,0,8,3,Bowman,,
24-Feb-62,Mon,occupation,Union,Confederates,,Gen. Buell's Union troops drive rebels out of Nashville,Tennessee,Nashville,civil war,,,4000,0,0,0,17000,0,0,0,Bowman,,
25-Feb-62,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
26-Feb-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
27-Feb-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
28-Feb-62,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
28-Feb-62,Fri,occupation,Union,Confederates,,Union troops occupy Charleston,Virginia,Charleston,civil war,,,0,0,0,0,5000,0,0,0,Bowman,,
1-Mar-62,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
1-Mar-62,Sat,arrest,Confederates,congressman,,jail former congressman & friends for treason,Virginia,Richmond,treason,,,8,0,0,0,32,32,0,0,Bowman,,
1-Mar-62,Sat,battle,Union,Confederates,,brief battle on Mississippi river,Tennessee,Pittsburg Landing,civil war,,,4000,0,8,3,5000,0,8,3,Bowman,,
1-Mar-62,Sat,attack,Union,Confederates,,Union gunboats knock out rebel battery,Tennessee,Pittsburg Landing,civil war,,,4000,0,8,3,301,0,0,0,Bowman,,
2-Mar-62,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
3-Mar-62,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
3-Mar-62,Mon,siege,Union,Confederates,,Union troops surround rebel positions,Missouri,New Madrid,civil war,,,12000,0,8,3,18000,0,8,3,Faust,,
3-Mar-62,Mon,attack,Union,Confederates,,Union gunboat fires on & chases rebel train,Florida,Tampa,civil war,,,8,0,0,0,31,0,0,0,Arnold & Wiener,,
4-Mar-62,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
4-Mar-62,Tue,siege,Union,Confederates,,Union troops surround rebel positions,Missouri,New Madrid,civil war,,,12000,0,8,3,18000,0,8,3,Faust,,
5-Mar-62,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
5-Mar-62,Wed,battle,Union,Confederates,,skirmish begins in Fayetteville,Arkansas,Fayetteville,civil war,,,4000,0,8,3,5000,0,8,3,Bowman,,
5-Mar-62,Wed,siege,Union,Confederates,,Union troops surround rebel positions,Missouri,New Madrid,civil war,,,12000,0,8,3,18000,0,8,3,Faust,,
6-Mar-62,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Bowman,,
